ticker,close,as_of,trend,momentum,volatility,setup,total,status,action,entry_lo,entry_hi,stop,atr_pct,rsi,note,ta_action,override,reason
RAPP,40.68,2026-07-24,100,56,35,80,74,상승·눌림,분할OK,39.26,41.33,36.78,6.36,51.8,추세 정렬 + EMA20 부근 셋업,분할OK,—,
LASR,70.02,2026-07-24,100,76,20,40,67,상승·눌림,분할OK,66.12,70.99,63.72,8.69,51.3,추세 정렬 + EMA20 부근 셋업,분할OK,—,
INDV,40.53,2026-07-24,100,53,70,75,78,상승·눌림,대기,39.5,40.6,37.78,3.38,54.9,추세 정렬 + EMA20 부근 셋업 | 포트 정책 추가금지,분할OK,NO_ADD,포트 정책 추가금지
ECPG,90.15,2026-07-24,95,57,70,75,77,상승·눌림,대기,87.31,89.83,83.18,3.5,54.3,추세 정렬 + EMA20 부근 셋업 | 포트 정책 추가금지,분할OK,NO_ADD,포트 정책 추가금지
AMRX,17.92,2026-07-24,100,67,70,40,72,중립·대기,대기,16.96,17.41,15.51,3.18,63.8,셋업 대기 | 실적 D-4 (2026-07-30) 구간,대기,EARN_D5,실적 D-4 (2026-07-30) 구간
ALKS,52.89,2026-07-24,100,61,70,40,71,중립·대기,대기,50.79,52.2,45.85,3.35,61.2,셋업 대기 | 실적 D-2 (2026-07-28) 구간,대기,EARN_D5,실적 D-2 (2026-07-28) 구간
NEO,13.89,2026-07-24,80,55,50,80,69,상승·눌림,대기,13.58,14.12,11.96,4.91,53.8,추세 정렬 + EMA20 부근 셋업 | 실적 D-2 (2026-07-28) 분할 차단,분할OK,EARN_D5,실적 D-2 (2026-07-28) 분할 차단
NESR,27.62,2026-07-24,80,53,35,80,66,상승·눌림,대기,27.05,28.19,25.42,5.14,50.8,추세 정렬 + EMA20 부근 셋업 | 밴드 $25–$27 밖 (상단초과 $27.62),분할OK,BAND,밴드 $25–$27 밖 (상단초과 $27.62)
TVTX,57.36,2026-07-24,100,56,50,40,66,중립·대기,대기,54.84,56.81,50.0,4.29,59.2,셋업 대기,대기,—,
ATLC,99.48,2026-07-24,95,46,35,40,60,중립·대기,대기,94.79,99.49,87.41,5.91,54.3,셋업 대기,대기,—,
ACHC,34.51,2026-07-24,100,90,50,20,70,과열,신규금지,31.21,32.39,27.78,4.27,66.9,RSI과열 또는 EMA20 과이격 | 실적 D-2 (2026-07-28) 구간,신규금지,EARN_D5,실적 D-2 (2026-07-28) 구간
