ticker,close,as_of,trend,momentum,volatility,setup,total,status,action,entry_lo,entry_hi,stop,atr_pct,rsi,note,ta_action,override,reason
SYRE,101.85,2026-08-13,100,63,35,40,66,상승·눌림,분할OK,97.87,102.43,88.95,5.59,55.1,추세 정렬 + EMA20 부근 셋업,분할OK,—,
DDOG,252.24,2026-08-13,75,45,35,80,63,상승·눌림,분할OK,246.14,259.78,235.18,6.76,49.2,추세 정렬 + EMA20 부근 셋업,분할OK,—,
NESR,35.9,2026-08-13,100,84,35,20,66,과열,익절검토,29.3,30.83,26.75,5.31,71.0,RSI과열 또는 EMA20 과이격 | 실적 D-5 (2026-08-18) 구간 · 밴드 $25–$27 밖 (상단초과 $35.9) · 익절 tp2 $33+ (종가 $35.9),신규금지,EARN_D5+BAND+TP,실적 D-5 (2026-08-18) 구간 · 밴드 $25–$27 밖 (상단초과 $35.9) · 익절 tp2 $33+ (종가 $35.9)
ICUI,183.11,2026-08-13,100,84,70,40,76,중립·대기,대기,166.96,171.9,152.66,3.37,69.3,셋업 대기,대기,—,
SHOO,47.35,2026-08-13,100,81,70,40,76,중립·대기,대기,45.51,46.81,42.91,3.43,59.4,셋업 대기,대기,—,
STLD,260.53,2026-08-13,100,82,70,40,76,중립·대기,대기,251.29,257.76,241.78,3.1,58.2,셋업 대기,대기,—,
SAIC,126.66,2026-08-13,100,83,70,40,76,중립·대기,대기,118.79,121.82,111.64,2.99,68.6,셋업 대기,대기,—,
CHEF,112.05,2026-08-13,100,84,50,50,76,중립·대기,대기,103.95,107.12,95.17,3.54,67.1,셋업 대기,대기,—,
KALU,182.75,2026-08-13,100,84,50,40,74,중립·대기,대기,170.46,177.72,165.09,4.97,56.6,셋업 대기,대기,—,
ECPG,101.29,2026-08-13,100,85,50,40,74,중립·대기,대기,92.4,95.84,87.08,4.24,62.7,셋업 대기,대기,—,
AVT,95.99,2026-08-13,100,86,50,40,74,중립·대기,대기,90.11,93.2,86.35,4.03,59.8,셋업 대기,대기,—,
IESC,748.44,2026-08-13,100,85,35,40,72,중립·대기,대기,682.32,723.66,643.2,6.9,56.9,셋업 대기,대기,—,
CBRL,58.4,2026-08-13,100,77,50,40,72,중립·대기,대기,54.1,56.07,47.48,4.21,64.7,셋업 대기,대기,—,
FTNT,165.44,2026-08-13,100,75,50,40,71,중립·대기,대기,156.62,161.95,148.58,4.03,59.1,셋업 대기,대기,—,
RELY,25.62,2026-08-13,100,75,50,40,71,중립·대기,대기,23.29,24.26,21.98,4.75,60.9,셋업 대기,대기,—,
MRCY,109.79,2026-08-13,100,82,35,40,71,중립·대기,대기,103.41,108.03,100.77,5.26,54.8,셋업 대기,대기,—,
NVCR,17.38,2026-08-13,100,80,35,40,70,중립·대기,대기,16.17,16.95,15.87,5.6,54.9,셋업 대기,대기,—,
BELFB,286.01,2026-08-13,100,73,35,40,68,중립·대기,대기,273.26,286.83,264.22,5.93,52.7,셋업 대기,대기,—,
FA,22.2,2026-08-13,100,56,35,50,67,중립·대기,대기,20.59,21.62,18.6,5.81,56.9,셋업 대기,대기,—,
IART,18.24,2026-08-13,95,51,35,40,61,중립·대기,대기,17.41,18.15,16.77,5.06,52.4,셋업 대기,대기,—,
TSEM,252.95,2026-08-13,85,74,20,40,61,중립·대기,대기,226.98,245.79,223.43,9.3,55.0,셋업 대기,대기,—,
AMRX,17.27,2026-08-13,75,50,50,40,56,중립·대기,대기,17.45,17.97,16.18,3.78,46.5,셋업 대기,대기,—,
FTRE,17.82,2026-08-13,80,46,35,40,55,중립·대기,대기,17.95,18.9,16.67,6.65,46.6,셋업 대기,대기,—,
ROKU,154.08,2026-08-13,100,70,85,40,75,과열,신규금지,146.22,148.01,139.16,1.45,74.9,RSI과열 또는 EMA20 과이격,신규금지,—,
DXCM,91.48,2026-08-13,100,81,70,20,71,과열,신규금지,80.84,83.21,74.79,3.24,73.0,RSI과열 또는 EMA20 과이격,신규금지,—,
NTRA,310.78,2026-08-13,100,90,50,20,70,과열,신규금지,278.32,289.3,252.09,4.42,66.8,RSI과열 또는 EMA20 과이격,신규금지,—,
CAKE,111.88,2026-08-13,100,78,70,20,70,과열,신규금지,98.85,101.96,84.9,3.47,75.3,RSI과열 또는 EMA20 과이격,신규금지,—,
CLMT,48.79,2026-08-13,100,86,50,20,69,과열,신규금지,41.95,43.67,38.18,4.4,69.7,RSI과열 또는 EMA20 과이격,신규금지,—,
NEOG,11.89,2026-08-13,100,86,50,20,69,과열,신규금지,10.68,11.06,9.73,4.0,69.4,RSI과열 또는 EMA20 과이격,신규금지,—,
CRSR,13.45,2026-08-13,100,92,35,20,68,과열,신규금지,11.05,11.79,9.47,6.93,65.9,RSI과열 또는 EMA20 과이격,신규금지,—,
VCTR,118.17,2026-08-13,100,71,70,20,68,과열,신규금지,102.7,105.52,93.9,2.98,79.5,RSI과열 또는 EMA20 과이격,신규금지,—,
TILE,38.73,2026-08-13,100,82,50,20,68,과열,신규금지,34.95,36.07,32.53,3.61,71.9,RSI과열 또는 EMA20 과이격,신규금지,—,
PLPC,447.39,2026-08-13,100,90,35,20,68,과열,신규금지,391.3,414.93,354.23,6.6,62.1,RSI과열 또는 EMA20 과이격,신규금지,—,
ENTG,163.81,2026-08-13,100,89,35,20,68,과열,신규금지,138.04,146.5,133.21,6.46,61.4,RSI과열 또는 EMA20 과이격,신규금지,—,
